Complaint_Use_Case,Official_Rules,District_Circulars,Community_Suggestions,Contradictions_Found,Needs_Verification
I have a large jack tree in my backyard that is leaning towards the roof. How do I get a permit to cut it down?,"# Official Service Rules: Permit to Cut a Protected Tree (Agriculture) **Service Name**: Permit to Cut a Protected Tree **Service ID**: tree_cutting_permit **Category**: Agriculture & Environment **Office Type**: Divisional Secretariat (Agrarian Services / Environment branch) **Official Fee**: 100 LKR ## Description Under Sri Lankan law, certain trees (including Jack/Kos, Breadfruit/Del, and Palmyrah) are protected. Citizens must obtain a formal permit before cutting them down, even on private property. ## Required Documents 1. **Application Form**: Available at the Grama Niladhari (GN) office. 2. **Proof of Ownership**: Original land deed and a certified copy. 3. **GN Recommendation**: GN must inspect the tree (checking if it risks buildings like roofs) and sign the recommendation. 4. **Photographs**: Visual proof of the tree's position relative to the house/roof. | # Official Service Rules: National Identity Card (NIC) Renewal **Service Name**: National Identity Card (NIC) Renewal **Service ID**: nic_renewal **Category**: Personal Identification **Office Type**: Divisional Secretariat (Department of Registration of Persons branch) **Official Fee**: 500 LKR **Official Processing Time**: 14 Days ## Description This service allows Sri Lankan citizens to renew their National Identity Card (NIC) due to expiration, damage, or changes in personal details. ## Required Official Documents 1. **Application Form (Annexure 1)**: Duly filled application form certified by the Grama Niladhari. 2. **Current/Old NIC**: The original card to be handed over (or a police report if lost). 3. **Original Birth Certificate**: Must be submitted along with a copy. 4. **Photographs**: Three (3) color photographs of size 1.3"" x 1.8"", certified on the reverse side by the Grama Niladhari. 5. **Marriage Certificate**: Required only if name has changed due to marriage (original and photocopy). | # Official Service Rules: Land Deed Title Transfer (Property) **Service Name**: Land Deed Title Transfer **Service ID**: land_deed_transfer **Category**: Property & Land Registry **Office Type**: Land Registry (Divisional Secretariat region) **Official Fee**: Stamp duty (varies based on property valuation) + Registration fee (1,000 LKR). ## Description Transfer of land ownership between family members or buyers. ## Step-by-Step Title Transfer Process 1. **Title Search**: Must perform a title search at the local Land Registry to verify ownership and check for encumbrances. 2. **Drafting of Deed**: A licensed Notary Public must draft the transfer deed. 3. **Valuation & Stamp Duty**: Pay stamp duty at a state bank based on the land value. 4. **Execution**: The transferor (e.g. grandmother) and transferee (grandson) must sign the deed before the Notary Public and two witnesses. 5. **Registration**: Submit the executed deed to the Land Registry for registration and update of the title index.",,,,NO
My NIC is damaged and some numbers are faded. Oka renew karaganne kohomada? What documents should I bring to the divisional secretariat?,"# Official Service Rules: National Identity Card (NIC) Renewal **Service Name**: National Identity Card (NIC) Renewal **Service ID**: nic_renewal **Category**: Personal Identification **Office Type**: Divisional Secretariat (Department of Registration of Persons branch) **Official Fee**: 500 LKR **Official Processing Time**: 14 Days ## Description This service allows Sri Lankan citizens to renew their National Identity Card (NIC) due to expiration, damage, or changes in personal details. ## Required Official Documents 1. **Application Form (Annexure 1)**: Duly filled application form certified by the Grama Niladhari. 2. **Current/Old NIC**: The original card to be handed over (or a police report if lost). 3. **Original Birth Certificate**: Must be submitted along with a copy. 4. **Photographs**: Three (3) color photographs of size 1.3"" x 1.8"", certified on the reverse side by the Grama Niladhari. 5. **Marriage Certificate**: Required only if name has changed due to marriage (original and photocopy).","# District Circular Notes: Matara Divisional Secretariat **Service Name**: National Identity Card (NIC) Renewal **Service ID**: nic_renewal **Office Name**: Matara Divisional Secretariat **District**: Matara **District Specific Fee**: 550 LKR (includes 50 LKR local administrative surcharge) **Officer Room**: Room 12 (NIC Division) **Processing Hours**: Mondays and Wednesdays only, from 9:00 AM to 1:00 PM. ## Local Office Requirements 1. **Residence Certificate**: Due to district policy, citizens in Matara must submit a Residence Certificate issued by the Grama Niladhari within the last 3 months. 2. **Pre-verification**: Applications must be signed and stamped by the Divisional Secretary before submission at Counter 3.","Community update: The fee for NIC Renewal at Matara is now 700 LKR because they charge an extra 200 LKR for photograph scanning fee at the local desk. (Optional Tip: Other citizens recently reported this, but it is not yet officially verified. Prepare at your own discretion.)",Fee discrepancy: Community mentions a fee of 700 LKR which is not in official rules (500 LKR). | Fee discrepancy: Community mentions a fee of 200 LKR which is not in official rules (500 LKR).,YES
I need to renew my bike's revenue license online but the system says my eco-test is missing. Can I do it physically at the office?,"# Official Service Rules: Vehicle Revenue License Renewal (Transport) **Service Name**: Vehicle Revenue License Renewal **Service ID**: revenue_license **Category**: Transport & Licensing **Office Type**: Divisional Secretariat (Motor Traffic Department branch) or Online (e-Revenue License system) **Official Fee**: Varies by vehicle class and weight. ## Description Annual renewal of vehicle revenue license. Can be done online or physically at the Divisional Secretariat. ## Missing Eco-Test / Emission Test Online Bypass If the online system fails or reports a ""missing eco-test"" (emission certificate) despite having one, the citizen must renew the license **physically** at the Divisional Secretariat. ## Required Documents (Physical Bypass) 1. **Vehicle Registration Document (CR)**: Original Certificate of Registration (Logbook). 2. **Valid Emission Certificate (Eco-Test)**: Hardcopy from authorized testing center (DriveGreen or Laugfs Eco Sri). 3. **Valid Insurance Policy Certificate**: Minimum third-party cover.","# District Circular Notes: Matara Divisional Secretariat **Service Name**: National Identity Card (NIC) Renewal **Service ID**: nic_renewal **Office Name**: Matara Divisional Secretariat **District**: Matara **District Specific Fee**: 550 LKR (includes 50 LKR local administrative surcharge) **Officer Room**: Room 12 (NIC Division) **Processing Hours**: Mondays and Wednesdays only, from 9:00 AM to 1:00 PM. ## Local Office Requirements 1. **Residence Certificate**: Due to district policy, citizens in Matara must submit a Residence Certificate issued by the Grama Niladhari within the last 3 months. 2. **Pre-verification**: Applications must be signed and stamped by the Divisional Secretary before submission at Counter 3.",Verified Community Note for NIC Renewal at Matara: Confirming that they strictly require the GN residence certificate. Admin Approved Resolution: Make sure to get Grama Niladhari residence certificate sign-off. (Recommended: This update has been verified by administrators and should be followed.),,NO
There is a spelling mistake in my father's name on my birth certificate. How can I fix this before applying for my passport?,"# Official Service Rules: Birth Certificate Name Correction (Civil Registry) **Service Name**: Birth Certificate Name Correction **Service ID**: birth_certificate_correction **Category**: Civil Registry & Vital Records **Office Type**: Divisional Secretariat (Registrar of Births/Deaths/Marriages branch) **Official Fee**: 150 LKR (stamp duty) ## Description Correction of spelling mistakes or omissions in father's/mother's names or child's name on a birth certificate. ## Sequential Dependency: Correction before Passport Application A passport application requires an accurate birth certificate matching the National Identity Card. Thus, the birth certificate must be corrected **first** before submitting the passport application. ## Required Documents 1. **Application Form (Section 27)**: Duly completed application form. 2. **Original Birth Certificate**: The erroneous copy to be corrected. 3. **Certified Affidavit**: Declaring the spelling mistake and confirming the correct spelling. 4. **Supporting Documents**: Parents' marriage certificate, parents' birth certificates, or NIC showing correct spelling. | # Official Service Rules: Passport Application & Urgent One-Day Service **Service Name**: Passport Application **Service ID**: passport_application **Category**: Travel & Passports **Office Type**: Department of Immigration and Emigration (Head Office in Battaramulla or Regional Branches in Kandy, Matara, Vavuniya, Kurunegala) **Urgent One-Day Fee**: 20,000 LKR **Standard Service Fee**: 10,000 LKR (takes 30 days) ## Description Sri Lankan citizens can apply for a passport under standard or urgent one-day service. ## Urgent One-Day Walk-in Protocol For one-day service, citizens can walk into the Head Office (Battaramulla) or authorized regional branches (Matara, Kandy, Kurunegala). Office opens at 8:30 AM. Tokens are allocated on a first-come, first-served basis. ## Required Documents 1. **Application Form (Form K-35A)**: Completed form. 2. **Current NIC**: Original and a photocopy. 3. **Original Birth Certificate**: Must be submitted along with a copy. 4. ** GN Certified Photos**: Three (3) colored photographs according to specifications. | # Official Service Rules: National Identity Card (NIC) Renewal **Service Name**: National Identity Card (NIC) Renewal **Service ID**: nic_renewal **Category**: Personal Identification **Office Type**: Divisional Secretariat (Department of Registration of Persons branch) **Official Fee**: 500 LKR **Official Processing Time**: 14 Days ## Description This service allows Sri Lankan citizens to renew their National Identity Card (NIC) due to expiration, damage, or changes in personal details. ## Required Official Documents 1. **Application Form (Annexure 1)**: Duly filled application form certified by the Grama Niladhari. 2. **Current/Old NIC**: The original card to be handed over (or a police report if lost). 3. **Original Birth Certificate**: Must be submitted along with a copy. 4. **Photographs**: Three (3) color photographs of size 1.3"" x 1.8"", certified on the reverse side by the Grama Niladhari. 5. **Marriage Certificate**: Required only if name has changed due to marriage (original and photocopy).",,,,NO
I am starting a small software consulting business from home. Do I need to register it at the Pradeshiya Sabha or the Divisional Secretariat?,"# Official Service Rules: Local Business Registration (Commerce) **Service Name**: Local Business Registration **Service ID**: business_registration **Category**: Commerce & Trade **Office Type**: Divisional Secretariat (Business Registration branch) **Official Fee**: 2,500 LKR (Sole Proprietorship) ## Description Registration of a sole proprietorship, partnership, or business name. Small home-based businesses (like software consulting) must register at the **Divisional Secretariat** of their business address, not at the Pradeshiya Sabha (which only handles municipal trade licenses/rates). ## Required Documents 1. **Business Registration Form (Form A)**: Duly filled application. 2. **GN Certificate**: Resident/location approval signed by the Grama Niladhari. 3. **Deed / Lease Agreement**: Proof of the home/office property ownership or lease. 4. **NIC Copy**: Owner's identity card. | # Official Service Rules: Grama Niladhari Division Search (Interactive Triage) **Service Name**: Find Grama Niladhari Division **Service ID**: gn_division_lookup **Category**: Regional Administration **Office Type**: Divisional Secretariat region **Official Fee**: Free of charge ## Description Guidelines on how to locate or verify your local Grama Niladhari (GN) division name or number. ## GN Division Lookup Guidance If a citizen does not know their Grama Niladhari (GN) division: 1. **Interactive Resolution**: Request the citizen's exact village name, municipal ward, or street name. 2. **GN Lookup Map**: Use the regional gazette or Divisional Secretariat's village-to-division mapping directory to find the division code. 3. **GN Office**: The local Divisional Secretariat has an administrative officer at the **GN Administration Desk (Room 2)** who can verify the division name based on the village address.","# District Circular Notes: Matara Divisional Secretariat **Service Name**: National Identity Card (NIC) Renewal **Service ID**: nic_renewal **Office Name**: Matara Divisional Secretariat **District**: Matara **District Specific Fee**: 550 LKR (includes 50 LKR local administrative surcharge) **Officer Room**: Room 12 (NIC Division) **Processing Hours**: Mondays and Wednesdays only, from 9:00 AM to 1:00 PM. ## Local Office Requirements 1. **Residence Certificate**: Due to district policy, citizens in Matara must submit a Residence Certificate issued by the Grama Niladhari within the last 3 months. 2. **Pre-verification**: Applications must be signed and stamped by the Divisional Secretary before submission at Counter 3.",,,NO
"I need an urgent passport via the one-day service. Can I walk into the main office tomorrow, and what is the current fee?","# Official Service Rules: Passport Application & Urgent One-Day Service **Service Name**: Passport Application **Service ID**: passport_application **Category**: Travel & Passports **Office Type**: Department of Immigration and Emigration (Head Office in Battaramulla or Regional Branches in Kandy, Matara, Vavuniya, Kurunegala) **Urgent One-Day Fee**: 20,000 LKR **Standard Service Fee**: 10,000 LKR (takes 30 days) ## Description Sri Lankan citizens can apply for a passport under standard or urgent one-day service. ## Urgent One-Day Walk-in Protocol For one-day service, citizens can walk into the Head Office (Battaramulla) or authorized regional branches (Matara, Kandy, Kurunegala). Office opens at 8:30 AM. Tokens are allocated on a first-come, first-served basis. ## Required Documents 1. **Application Form (Form K-35A)**: Completed form. 2. **Current NIC**: Original and a photocopy. 3. **Original Birth Certificate**: Must be submitted along with a copy. 4. ** GN Certified Photos**: Three (3) colored photographs according to specifications. | # Official Service Rules: Birth Certificate Name Correction (Civil Registry) **Service Name**: Birth Certificate Name Correction **Service ID**: birth_certificate_correction **Category**: Civil Registry & Vital Records **Office Type**: Divisional Secretariat (Registrar of Births/Deaths/Marriages branch) **Official Fee**: 150 LKR (stamp duty) ## Description Correction of spelling mistakes or omissions in father's/mother's names or child's name on a birth certificate. ## Sequential Dependency: Correction before Passport Application A passport application requires an accurate birth certificate matching the National Identity Card. Thus, the birth certificate must be corrected **first** before submitting the passport application. ## Required Documents 1. **Application Form (Section 27)**: Duly completed application form. 2. **Original Birth Certificate**: The erroneous copy to be corrected. 3. **Certified Affidavit**: Declaring the spelling mistake and confirming the correct spelling. 4. **Supporting Documents**: Parents' marriage certificate, parents' birth certificates, or NIC showing correct spelling.","# District Circular Notes: Matara Divisional Secretariat **Service Name**: National Identity Card (NIC) Renewal **Service ID**: nic_renewal **Office Name**: Matara Divisional Secretariat **District**: Matara **District Specific Fee**: 550 LKR (includes 50 LKR local administrative surcharge) **Officer Room**: Room 12 (NIC Division) **Processing Hours**: Mondays and Wednesdays only, from 9:00 AM to 1:00 PM. ## Local Office Requirements 1. **Residence Certificate**: Due to district policy, citizens in Matara must submit a Residence Certificate issued by the Grama Niladhari within the last 3 months. 2. **Pre-verification**: Applications must be signed and stamped by the Divisional Secretary before submission at Counter 3.",,,NO
My grandmother wants to transfer her land deed to my name. What is the step-by-step process and who needs to sign the papers first?,"# Official Service Rules: Land Deed Title Transfer (Property) **Service Name**: Land Deed Title Transfer **Service ID**: land_deed_transfer **Category**: Property & Land Registry **Office Type**: Land Registry (Divisional Secretariat region) **Official Fee**: Stamp duty (varies based on property valuation) + Registration fee (1,000 LKR). ## Description Transfer of land ownership between family members or buyers. ## Step-by-Step Title Transfer Process 1. **Title Search**: Must perform a title search at the local Land Registry to verify ownership and check for encumbrances. 2. **Drafting of Deed**: A licensed Notary Public must draft the transfer deed. 3. **Valuation & Stamp Duty**: Pay stamp duty at a state bank based on the land value. 4. **Execution**: The transferor (e.g. grandmother) and transferee (grandson) must sign the deed before the Notary Public and two witnesses. 5. **Registration**: Submit the executed deed to the Land Registry for registration and update of the title index. | # Official Service Rules: Birth Certificate Name Correction (Civil Registry) **Service Name**: Birth Certificate Name Correction **Service ID**: birth_certificate_correction **Category**: Civil Registry & Vital Records **Office Type**: Divisional Secretariat (Registrar of Births/Deaths/Marriages branch) **Official Fee**: 150 LKR (stamp duty) ## Description Correction of spelling mistakes or omissions in father's/mother's names or child's name on a birth certificate. ## Sequential Dependency: Correction before Passport Application A passport application requires an accurate birth certificate matching the National Identity Card. Thus, the birth certificate must be corrected **first** before submitting the passport application. ## Required Documents 1. **Application Form (Section 27)**: Duly completed application form. 2. **Original Birth Certificate**: The erroneous copy to be corrected. 3. **Certified Affidavit**: Declaring the spelling mistake and confirming the correct spelling. 4. **Supporting Documents**: Parents' marriage certificate, parents' birth certificates, or NIC showing correct spelling. | # Official Service Rules: Social Services Navigation (Elderly Assistance) **Service Name**: Elderly Monthly Assistance **Service ID**: elderly_assistance **Category**: Social Services & Public Assistance **Office Type**: Divisional Secretariat (Social Services Branch) **Official Fee**: Free of charge ## Description Submission of monthly financial assistance forms for senior citizens. ## Office Navigation (Counter Details) At the Divisional Secretariat, citizens submitting elderly assistance applications must go to **Room 5** (Social Services Branch) or **Counter 7** (Public Aid Desk). Our crowd reports verify that bringing a photocopy of the mother's NIC and GN residency confirmation helps bypass delay.",,,,NO
Can you look at my ID and fill out the application form for a passport for me?,"# Official Service Rules: Passport Application & Urgent One-Day Service **Service Name**: Passport Application **Service ID**: passport_application **Category**: Travel & Passports **Office Type**: Department of Immigration and Emigration (Head Office in Battaramulla or Regional Branches in Kandy, Matara, Vavuniya, Kurunegala) **Urgent One-Day Fee**: 20,000 LKR **Standard Service Fee**: 10,000 LKR (takes 30 days) ## Description Sri Lankan citizens can apply for a passport under standard or urgent one-day service. ## Urgent One-Day Walk-in Protocol For one-day service, citizens can walk into the Head Office (Battaramulla) or authorized regional branches (Matara, Kandy, Kurunegala). Office opens at 8:30 AM. Tokens are allocated on a first-come, first-served basis. ## Required Documents 1. **Application Form (Form K-35A)**: Completed form. 2. **Current NIC**: Original and a photocopy. 3. **Original Birth Certificate**: Must be submitted along with a copy. 4. ** GN Certified Photos**: Three (3) colored photographs according to specifications. | # Official Service Rules: Birth Certificate Name Correction (Civil Registry) **Service Name**: Birth Certificate Name Correction **Service ID**: birth_certificate_correction **Category**: Civil Registry & Vital Records **Office Type**: Divisional Secretariat (Registrar of Births/Deaths/Marriages branch) **Official Fee**: 150 LKR (stamp duty) ## Description Correction of spelling mistakes or omissions in father's/mother's names or child's name on a birth certificate. ## Sequential Dependency: Correction before Passport Application A passport application requires an accurate birth certificate matching the National Identity Card. Thus, the birth certificate must be corrected **first** before submitting the passport application. ## Required Documents 1. **Application Form (Section 27)**: Duly completed application form. 2. **Original Birth Certificate**: The erroneous copy to be corrected. 3. **Certified Affidavit**: Declaring the spelling mistake and confirming the correct spelling. 4. **Supporting Documents**: Parents' marriage certificate, parents' birth certificates, or NIC showing correct spelling. | # Official Service Rules: National Identity Card (NIC) Renewal **Service Name**: National Identity Card (NIC) Renewal **Service ID**: nic_renewal **Category**: Personal Identification **Office Type**: Divisional Secretariat (Department of Registration of Persons branch) **Official Fee**: 500 LKR **Official Processing Time**: 14 Days ## Description This service allows Sri Lankan citizens to renew their National Identity Card (NIC) due to expiration, damage, or changes in personal details. ## Required Official Documents 1. **Application Form (Annexure 1)**: Duly filled application form certified by the Grama Niladhari. 2. **Current/Old NIC**: The original card to be handed over (or a police report if lost). 3. **Original Birth Certificate**: Must be submitted along with a copy. 4. **Photographs**: Three (3) color photographs of size 1.3"" x 1.8"", certified on the reverse side by the Grama Niladhari. 5. **Marriage Certificate**: Required only if name has changed due to marriage (original and photocopy).",,,,NO
Which counter should I go to at the Divisional Secretariat to submit my elderly mother's monthly assistance documents?,"# Official Service Rules: Social Services Navigation (Elderly Assistance) **Service Name**: Elderly Monthly Assistance **Service ID**: elderly_assistance **Category**: Social Services & Public Assistance **Office Type**: Divisional Secretariat (Social Services Branch) **Official Fee**: Free of charge ## Description Submission of monthly financial assistance forms for senior citizens. ## Office Navigation (Counter Details) At the Divisional Secretariat, citizens submitting elderly assistance applications must go to **Room 5** (Social Services Branch) or **Counter 7** (Public Aid Desk). Our crowd reports verify that bringing a photocopy of the mother's NIC and GN residency confirmation helps bypass delay. | # Official Service Rules: Grama Niladhari Division Search (Interactive Triage) **Service Name**: Find Grama Niladhari Division **Service ID**: gn_division_lookup **Category**: Regional Administration **Office Type**: Divisional Secretariat region **Official Fee**: Free of charge ## Description Guidelines on how to locate or verify your local Grama Niladhari (GN) division name or number. ## GN Division Lookup Guidance If a citizen does not know their Grama Niladhari (GN) division: 1. **Interactive Resolution**: Request the citizen's exact village name, municipal ward, or street name. 2. **GN Lookup Map**: Use the regional gazette or Divisional Secretariat's village-to-division mapping directory to find the division code. 3. **GN Office**: The local Divisional Secretariat has an administrative officer at the **GN Administration Desk (Room 2)** who can verify the division name based on the village address.","# District Circular Notes: Matara Divisional Secretariat **Service Name**: National Identity Card (NIC) Renewal **Service ID**: nic_renewal **Office Name**: Matara Divisional Secretariat **District**: Matara **District Specific Fee**: 550 LKR (includes 50 LKR local administrative surcharge) **Officer Room**: Room 12 (NIC Division) **Processing Hours**: Mondays and Wednesdays only, from 9:00 AM to 1:00 PM. ## Local Office Requirements 1. **Residence Certificate**: Due to district policy, citizens in Matara must submit a Residence Certificate issued by the Grama Niladhari within the last 3 months. 2. **Pre-verification**: Applications must be signed and stamped by the Divisional Secretary before submission at Counter 3.",,,NO
"I want to apply for a permit, but I don't know my local Grama Niladhari division name or number. How do I find it?","# Official Service Rules: Grama Niladhari Division Search (Interactive Triage) **Service Name**: Find Grama Niladhari Division **Service ID**: gn_division_lookup **Category**: Regional Administration **Office Type**: Divisional Secretariat region **Official Fee**: Free of charge ## Description Guidelines on how to locate or verify your local Grama Niladhari (GN) division name or number. ## GN Division Lookup Guidance If a citizen does not know their Grama Niladhari (GN) division: 1. **Interactive Resolution**: Request the citizen's exact village name, municipal ward, or street name. 2. **GN Lookup Map**: Use the regional gazette or Divisional Secretariat's village-to-division mapping directory to find the division code. 3. **GN Office**: The local Divisional Secretariat has an administrative officer at the **GN Administration Desk (Room 2)** who can verify the division name based on the village address. | # Official Service Rules: Local Business Registration (Commerce) **Service Name**: Local Business Registration **Service ID**: business_registration **Category**: Commerce & Trade **Office Type**: Divisional Secretariat (Business Registration branch) **Official Fee**: 2,500 LKR (Sole Proprietorship) ## Description Registration of a sole proprietorship, partnership, or business name. Small home-based businesses (like software consulting) must register at the **Divisional Secretariat** of their business address, not at the Pradeshiya Sabha (which only handles municipal trade licenses/rates). ## Required Documents 1. **Business Registration Form (Form A)**: Duly filled application. 2. **GN Certificate**: Resident/location approval signed by the Grama Niladhari. 3. **Deed / Lease Agreement**: Proof of the home/office property ownership or lease. 4. **NIC Copy**: Owner's identity card. | # Official Service Rules: Permit to Cut a Protected Tree (Agriculture) **Service Name**: Permit to Cut a Protected Tree **Service ID**: tree_cutting_permit **Category**: Agriculture & Environment **Office Type**: Divisional Secretariat (Agrarian Services / Environment branch) **Official Fee**: 100 LKR ## Description Under Sri Lankan law, certain trees (including Jack/Kos, Breadfruit/Del, and Palmyrah) are protected. Citizens must obtain a formal permit before cutting them down, even on private property. ## Required Documents 1. **Application Form**: Available at the Grama Niladhari (GN) office. 2. **Proof of Ownership**: Original land deed and a certified copy. 3. **GN Recommendation**: GN must inspect the tree (checking if it risks buildings like roofs) and sign the recommendation. 4. **Photographs**: Visual proof of the tree's position relative to the house/roof.",,,,NO
